iter	Logloss
0	0.5461596232
1	0.4642000006
2	0.4150315311
3	0.3842414665
4	0.3635582803
5	0.3508345381
6	0.3410985855
7	0.3354151015
8	0.3314450545
9	0.3278210091
10	0.32587279
11	0.3246314192
12	0.3234267367
13	0.3227529337
14	0.321835251
15	0.3212004857
16	0.3207348005
17	0.3200253313
18	0.319573158
19	0.3188463955
20	0.3186337316
21	0.3182511069
22	0.3178321297
23	0.3174607649
24	0.3171216795
25	0.316873883
26	0.3165905591
27	0.3164131768
28	0.3161984843
29	0.3157107233
30	0.3153318823
31	0.3150913683
32	0.3148378679
33	0.3145757109
34	0.3143319349
35	0.3140808733
36	0.3138365542
37	0.3135813802
38	0.3133764493
39	0.313224676
40	0.3129820116
41	0.3128263839
42	0.3125155556
43	0.312350508
44	0.3121625005
45	0.3118807972
46	0.3116555619
47	0.3114247064
48	0.3112027697
49	0.3110610609
50	0.310919846
51	0.3108155595
52	0.3105972264
53	0.3103810772
54	0.3101842343
55	0.3099698892
56	0.3098469228
57	0.3097234526
58	0.3095847886
59	0.3094323313
60	0.3093087387
61	0.3092302857
62	0.3090649402
63	0.3088451544
64	0.3087289993
65	0.3086484185
66	0.3084163548
67	0.3083074874
68	0.3082712891
69	0.3081729519
70	0.3081727587
71	0.3080015501
72	0.3078503543
73	0.3076468914
74	0.3075255653
75	0.3073817894
76	0.3071556518
77	0.3069296743
78	0.3067960797
79	0.3067230671
80	0.3064993568
81	0.3064070467
82	0.3062769113
83	0.306118193
84	0.3060071316
85	0.3058761506
86	0.3058018797
87	0.3056409691
88	0.3055855197
89	0.305473964
90	0.3053496069
91	0.305292788
92	0.3049728494
93	0.3048419157
94	0.3047057871
95	0.3045487571
96	0.3043929791
97	0.304150766
98	0.3041505867
99	0.3041503992
100	0.3041502624
101	0.3039883661
102	0.3039881703
103	0.3038347709
104	0.3036407295
105	0.3035266039
106	0.3033614617
107	0.3032284522
108	0.3031023009
109	0.303048607
110	0.3029691006
111	0.302901631
112	0.3027391056
113	0.3025862927
114	0.302586108
115	0.3024416635
116	0.3023506838
117	0.3023505135
118	0.302174298
119	0.3020145589
120	0.3018082414
121	0.3016546184
122	0.3015560978
123	0.3012801229
124	0.3012699438
125	0.3011826884
126	0.30097563
127	0.3009216071
128	0.3007445819
129	0.3006226223
130	0.3004243197
131	0.3004000341
132	0.300109196
133	0.300024614
134	0.2997739067
135	0.2994634606
136	0.2993628322
137	0.2993453867
138	0.2992531163
139	0.2991944535
140	0.2990279632
141	0.2988972495
142	0.2987187772
143	0.2984439039
144	0.2984437589
145	0.2983815908
146	0.2983814768
147	0.2982657465
148	0.2981701847
149	0.2980835023
150	0.2978899146
151	0.2978897467
152	0.2977300207
153	0.2977298775
154	0.2976651753
155	0.2975487385
156	0.2974487905
157	0.2974486525
158	0.2973721715
159	0.297247861
160	0.2971157755
