iter	Passed	Remaining
0	6	1022
1	15	1234
2	25	1341
3	31	1224
4	40	1254
5	49	1282
6	59	1306
7	68	1308
8	77	1306
9	92	1402
10	111	1518
11	131	1634
12	155	1765
13	176	1850
14	194	1895
15	208	1893
16	220	1868
17	231	1841
18	244	1824
19	255	1800
20	267	1782
21	278	1759
22	289	1739
23	301	1718
24	309	1682
25	316	1644
26	325	1613
27	332	1580
28	339	1547
29	348	1519
30	356	1492
31	363	1465
32	371	1440
33	379	1415
34	386	1392
35	394	1369
36	402	1347
37	409	1327
38	417	1306
39	425	1286
40	435	1274
41	444	1259
42	452	1240
43	459	1221
44	466	1202
45	473	1184
46	480	1165
47	487	1147
48	494	1130
49	501	1113
50	508	1096
51	514	1079
52	521	1062
53	527	1045
54	534	1030
55	541	1015
56	548	1000
57	555	985
58	561	971
59	568	956
60	575	942
61	581	928
62	588	914
63	594	901
64	601	888
65	608	875
66	615	863
67	622	851
68	627	837
69	634	825
70	638	809
71	645	797
72	652	786
73	659	774
74	666	763
75	681	761
76	698	762
77	715	761
78	733	761
79	749	759
80	771	761
81	786	757
82	798	750
83	811	744
84	824	737
85	836	729
86	848	721
87	860	714
88	869	703
89	881	695
90	889	684
91	896	672
92	904	661
93	912	650
94	919	638
95	927	627
96	934	616
97	942	606
98	947	593
99	952	580
100	955	567
101	963	557
102	968	545
103	976	535
104	984	524
105	991	514
106	999	504
107	1009	495
108	1018	485
109	1025	475
110	1036	466
111	1043	456
112	1052	447
113	1060	437
114	1066	426
115	1073	416
116	1081	406
117	1086	395
118	1097	387
119	1106	378
120	1123	371
121	1143	365
122	1161	358
123	1180	352
124	1194	344
125	1212	336
126	1226	328
127	1238	319
128	1252	310
129	1266	302
130	1277	292
131	1288	283
132	1300	273
133	1312	264
134	1325	255
135	1338	245
136	1348	236
137	1354	225
138	1362	215
139	1368	205
140	1376	195
141	1383	185
142	1391	175
143	1400	165
144	1405	155
145	1420	145
146	1432	136
147	1451	127
148	1470	118
149	1491	109
150	1511	100
151	1521	90
152	1540	80
153	1549	70
154	1560	60
155	1572	50
156	1584	40
157	1593	30
158	1606	20
159	1622	10
160	1640	0
